W1	W2	P1	P2	Liaison	Nasalization	Linking consonant	Phonetic realization	Frequency	SSF1	SSF2
un	mois	DET	NC	FALSE	FALSE		ɛ̃mwa	2	DET{Ind}	N{Month.g=M num=SG}*
le	matin	DET	NC	FALSE	FALSE		ləmatɛ̃	3	DET{The}	N{Morning.g=M num=SG}*
ma	mère	DET	NC	FALSE	FALSE		mamɛʁ	26	DET{My}	N{Mother.g=F num=SG}*
sa	mère	DET	NC	FALSE	FALSE		samɛʁ	2	DET{His}	N{Mother.g=F num=SG}*
une	mère	DET	NC	FALSE	FALSE		ynmɛʁ	2	DET{Ind}	N{Mother.g=F num=SG}*
votre	mère	DET	NC	FALSE	FALSE		vɔtʁmɛʁ	2	DET{Your}	N{Mother.g=F num=SG}*
ma	belle-mère	DET	NC	FALSE	FALSE		mabɛlmɛʁ	2	DET{My}	N{MotherInLaw.g=F num=SG}*
des	mouvements	DET	NC	FALSE	FALSE		demuvmɑ̃	2	DET{Ind}	N{Movement.g=M num=PL}*
un	film	DET	NC	FALSE	FALSE		ɛ̃film	3	DET{Ind}	N{Movie.g=M num=SG}*
la	maman	DET	NC	FALSE	FALSE		lamamɑ̃	3	DET{The}	N{Mum.g=F num=SG}*
ma	maman	DET	NC	FALSE	FALSE		mamamɑ̃	3	DET{My}	N{Mum.g=F num=SG}*
double	nationalité	ADJ	NC	FALSE	FALSE		dublnasjɔnalite	2	ADJ{Double}	N{Nationality.g=F num=SG}*
deux	aiguilles	NUM	NC	TRUE	FALSE	z	døzeɡɥij	1	NUM{Two}	N{Needle.g=F num=PL}*
la	nuit	DET	NC	FALSE	FALSE		lanɥi	6	DET{The}	N{Night.g=F num=SG}*
les	notes	DET	NC	FALSE	FALSE		lenɔt	3	DET{The}	N{Note.g=M num=PL}*
premier	objectif	ADJ	NC	TRUE	FALSE	r	pʁəmjerɔbʒɛktif	1	ADJ{First}	N{Objective.g=M num=SG}*
nouvel	observateur	ADJ	N	FALSE	FALSE		nuvɛlɔpsɛʁvatœʁ	9	ADJ{New}	N{Observer.g=M num=SG}*
les	occupants	DET	NC	TRUE	FALSE	z	lezɔkypɑ̃	1	DET{The}	N{Occupant.g=M num=PL}*
petites	occupations	ADJ	NC	TRUE	FALSE	z	pətitzɔkypasjɔ̃	1	ADJ{Small}	N{Occupation.g=F num=PL}*
mon	avis	DET	NC	FALSE	FALSE		mɔ̃avi	4	DET{My}	N{Opinion.g=M num=SG}*
les	opposants	DET	NC	TRUE	FALSE	z	lezɔpozɑ̃	20	DET{The}	N{Opposant.g=M num=PL}*
des	ordres	DET	NC	TRUE	FALSE	z	dezɔʁdʁ	1	DET{Ind}	N{Order.g=M num=PL}*
un	ordre	DET	N	TRUE	TRUE	nVN	ɛ̃nɔʁdʁ	1	DET{Ind}	N{Order.g=M num=SG}*
les	orphelinats	DET	NC	TRUE	FALSE	z	lezɔʁfəlina	1	DET{The}	N{Orphelinat.g=M num=PL}*
les	parents	DET	NC	FALSE	FALSE		lepaʁɑ̃	11	DET{The}	N{Parent.g=M num=PL}*
mes	parents	DET	NC	FALSE	FALSE		mepaʁɑ̃	7	DET{My}	N{Parent.g=M num=PL}*
tes	parents	DET	NC	FALSE	FALSE		tepaʁɑ̃	3	DET{Thy}	N{Parent.g=M num=PL}*
vos	parents	DET	NC	FALSE	FALSE		vopaʁɑ̃	6	DET{Your}	N{Parent.g=M num=PL}*
la	paris	DET	NPP	FALSE	FALSE		lapaʁi	2	DET{The}	N{Paris.g=F num=SG}*
les	parisiens	DET	NC	FALSE	FALSE		lepaʁizjɛ̃	4	DET{The}	N{Parisian.g=M num=PL}*
quelque	part	ADJ	N	FALSE	FALSE		kɛlkpaʁ	2	ADJ{Which}	N{Part.g=F num=SG}*
la	fête	DET	NC	FALSE	FALSE		lafɛt	4	DET{The}	N{Party.g=F num=SG}*
une	pause	DET	NC	FALSE	FALSE		ynpoz	4	DET{Ind}	N{Pause.g=F num=SG}*
des	gens	DET	NC	FALSE	FALSE		deʒɑ̃	27	DET{Ind}	N{People.g=M num=PL}*
les	gens	DET	NC	FALSE	FALSE		leʒɑ̃	40	DET{The}	N{People.g=M num=PL}*
ces	gens	DET	NC	FALSE	FALSE		seʒɑ̃	2	DET{This}	N{People.g=M num=PL}*
une	période	DET	NC	FALSE	FALSE		ynpeʁjɔd	2	DET{Ind}	N{Period.g=F num=SG}*
autre	personne	ADJ	NC	FALSE	FALSE		otʁpɛʁsɔn	2	ADJ{Other}	N{Person.g=F num=SG}*
des	photos	DET	NC	FALSE	FALSE		defɔto	6	DET{Ind}	N{Photo.g=F num=PL}*
des	pigeons	DET	NC	FALSE	FALSE		depiʒɔ̃	2	DET{Ind}	N{Pigeon.g=M num=PL}*
son	lieu	DET	NC	FALSE	FALSE		sɔ̃ljø	2	DET{His}	N{Place.g=M num=SG}*
le	plaisir	DET	NC	FALSE	FALSE		ləpleziʁ	3	DET{The}	N{Pleasure.g=F num=SG}*
un	poème	DET	NC	FALSE	FALSE		ɛ̃pɔɛm	2	DET{Ind}	N{Poem.g=M num=SG}*
demi	pointe	ADJ	NC	FALSE	FALSE		dəmipwɛ̃t	2	ADJ{Half}	N{Point.g=F num=SG}*
quel	point	DET	NC	FALSE	FALSE		kɛlpwɛ̃	2	DET{Which}	N{Point.g=M num=SG}*
la	politique	DET	NC	FALSE	FALSE		lapɔlitik	2	DET{The}	N{Politics.g=F num=SG}*
le	porche	DET	NC	FALSE	FALSE		ləpɔʁʃ	2	DET{The}	N{Porch.g=M num=SG}*
le	pot	DET	N	FALSE	FALSE		ləpo	2	DET{The}	N{Pot.g=M num=SG}*
le	pouvoir	DET	NC	FALSE	FALSE		ləpuvwaʁ	2	DET{The}	N{Power.g=M num=SG}*
la	préfecture	DET	NC	FALSE	FALSE		lapʁefɛktyʁ	10	DET{The}	N{Prefecture.g=F num=SG}*
les	prépas	DET	NC	FALSE	FALSE		lepʁepa	2	DET{The}	N{Prépa.g=F num=PL}*
une	prépa	DET	NC	FALSE	FALSE		ynpʁepa	2	DET{Ind}	N{Prépa.g=F num=SG}*
la	primaube	DET	NPP	FALSE	FALSE		lapʁimob	4	DET{The}	N{Primaube.g=F num=SG}*
les	prix	DET	NC	FALSE	FALSE		lepʁi	4	DET{The}	N{Prize.g=M num=PL}*
des	problèmes	DET	NC	FALSE	FALSE		depʁɔblɛm	3	DET{Ind}	N{Problem.g=F num=PL}*
gros	problème	ADJ	NC	FALSE	FALSE		ɡʁopʁɔblɛm	3	ADJ{Fat}	N{Problem.g=F num=SG}*
le	problème	DET	NC	FALSE	FALSE		ləpʁɔblɛm	10	DET{The}	N{Problem.g=F num=SG}*
un	problème	DET	NC	FALSE	FALSE		ɛ̃pʁɔblɛm	2	DET{Ind}	N{Problem.g=F num=SG}*
mon	métier	DET	NC	FALSE	FALSE		mɔ̃metje	3	DET{My}	N{Profession.g=M num=SG}*
sa	profession	DET	NC	FALSE	FALSE		sapʁɔfesjɔ̃	2	DET{His}	N{Profession2.g=F num=SG}*
des	professionnels	DET	NC	FALSE	FALSE		depʁɔfesjɔnɛl	2	DET{Ind}	N{Professional.g=M num=SG}*
le	professeur	DET	NC	FALSE	FALSE		ləpʁɔfesœʁ	2	DET{The}	N{Professor.g=M num=SG}*
les	élèves	DET	NC	TRUE	FALSE	z	lezelɛv	1	DET{The}	N{Pupil.g=M num=PL}*
le	quartier	DET	NC	FALSE	FALSE		ləkaʁtje	2	DET{The}	N{Quarter.g=M num=SG}*
les	questions	DET	NC	FALSE	FALSE		lekɛstjɔ̃	3	DET{The}	N{Question.g=F num=PL}*
la	question	DET	NC	FALSE	FALSE		lakɛstjɔ̃	4	DET{The}	N{Question.g=F num=SG}*
une	question	DET	NC	FALSE	FALSE		ynkɛstjɔ̃	3	DET{Ind}	N{Question.g=F num=SG}*
des	lapins	DET	NC	FALSE	FALSE		delapɛ̃	2	DET{Ind}	N{Rabbit.g=M num=PL}*
la	radio	DET	NC	FALSE	FALSE		laʁadjo	4	DET{The}	N{Radio.g=F num=SG}*
le	ravitaillement	DET	NC	FALSE	FALSE		ləʁavitajmɑ̃	4	DET{The}	N{Ravitaillement.g=M num=SG}*
la	réaction	DET	NC	FALSE	FALSE		laʁeaksjɔ̃	3	DET{The}	N{Reaction.g=F num=SG}*
la	région	DET	NC	FALSE	FALSE		laʁeʒjɔ̃	23	DET{The}	N{Region.g=F num=SG}*
quatre	registres	NUM	NC	FALSE	FALSE		katʁʁəʒistʁ	2	NUM{Four}	N{Register.g=M num=PL}*
bonnes	relations	ADJ	NC	FALSE	FALSE		bɔnʁəlasjɔ̃	2	ADJ{Good}	N{Relation.g=F num=PL}*
meilleur	rendement	ADJ	NC	FALSE	FALSE		mɛjœʁʁɑ̃dmɑ̃	2	ADJ{Best}	N{Rendement.g=M num=SG}*
la	retraite	DET	NC	FALSE	FALSE		laʁətʁɛt	2	DET{The}	N{Retreat.g=F num=SG}*
le	réveillon	DET	NC	FALSE	FALSE		ləʁevɛjɔ̃	2	DET{The}	N{Reveillon.g=M num=SG}*
la	côte	DET	NC	FALSE	FALSE		lakot	21	DET{The}	N{Rib.g=F num=SG}*
les	droits	DET	NC	FALSE	FALSE		ledʁwa	2	DET{The}	N{Right.g=M num=PL}*
le	droit	DET	NC	FALSE	FALSE		lədʁwa	5	DET{The}	N{Right.g=M num=SG}*
le	chemin	DET	NC	FALSE	FALSE		ləʃəmɛ̃	2	DET{The}	N{Road.g=M num=SG}*
un	rôle	DET	NC	FALSE	FALSE		ɛ̃ʁol	2	DET{Ind}	N{Role.g=M num=SG}*
les	chambres	DET	NC	FALSE	FALSE		leʃɑ̃bʁ	2	DET{The}	N{Room.g=F num=PL}*
les	écoles	DET	NC	TRUE	FALSE	z	lezekɔl	1	DET{The}	N{School.g=F num=PL}*
une	école	DET	NC	FALSE	FALSE		ynekɔl	4	DET{Ind}	N{School.g=F num=SG}*
la	mer	DET	NC	FALSE	FALSE		lamɛʁ	5	DET{The}	N{Sea.g=F num=SG}*
la	recherche	DET	NC	FALSE	FALSE		laʁəʃɛʁʃ	3	DET{The}	N{Search.g=F num=SG}*
la	seine	DET	N	FALSE	FALSE		lasɛn	2	DET{The}	N{Seine.g=F num=SG}*
le	sénégal	DET	NPP	FALSE	FALSE		ləseneɡal	2	DET{The}	N{Senegal.g=M num=SG}*
un	service	DET	NC	FALSE	FALSE		ɛ̃sɛʁvis	3	DET{Ind}	N{Service.g=M num=SG}*
ses	chemises	DET	NC	FALSE	FALSE		seʃəmiz	10	DET{His}	N{Shirt.g=F num=PL}*
la	liquette	DET	NC	FALSE	FALSE		lalikɛt	2	DET{The}	N{Shirt2.g=F num=SG}*
des	chaussures	DET	NC	FALSE	FALSE		deʃosyʁ	2	DET{Ind}	N{Shoe.g=F num=PL}*
les	chaussures	DET	NC	FALSE	FALSE		leʃosyʁ	4	DET{The}	N{Shoe.g=F num=PL}*
la	douche	DET	NC	FALSE	FALSE		laduʃ	2	DET{The}	N{Shower.g=F num=SG}*
autre	côté	ADJ	NC	FALSE	FALSE		otʁkote	21	ADJ{Other}	N{Side.g=M num=SG}*
des	chanteurs	DET	NC	FALSE	FALSE		deʃɑ̃tœʁ	3	DET{Ind}	N{Singer.g=M num=PL}*
grande	soeur	ADJ	NC	FALSE	FALSE		ɡʁɑ̃dsɔœʁ	2	ADJ{Big}	N{Sister.g=F num=SG}*
ma	soeur	DET	NC	FALSE	FALSE		masɔœʁ	2	DET{My}	N{Sister.g=F num=SG}*
la	situation	DET	NC	FALSE	FALSE		lasitɥasjɔ̃	2	DET{The}	N{Situation.g=F num=SG}*
la	claque	DET	NC	FALSE	FALSE		laklak	2	DET{The}	N{Slap.g=F num=SG}*
des	sociétés	DET	NC	FALSE	FALSE		desɔsjete	2	DET{Ind}	N{Society.g=F num=PL}*
une	prise	DET	N	FALSE	FALSE		ynpʁiz	3	DET{Ind}	N{Socket.g=F num=SG}*
quatre	fils	NUM	NC	FALSE	FALSE		katʁfis	2	NUM{Four}	N{Son.g=M num=PL}*
toutes	sortes	DET	NC	FALSE	FALSE		tutsɔʁt	2	DET{All}	N{Sort.g=F num=PL}*
le	sud	DET	NC	FALSE	FALSE		ləsyd	2	DET{The}	N{South.g=M num=SG}*
les	spécialistes	DET	NC	FALSE	FALSE		lespesjalist	4	DET{The}	N{Specialist.g=M num=PL}*
un	spectacle	DET	NC	FALSE	FALSE		ɛ̃spɛktakl	3	DET{Ind}	N{Spectacle.g=M num=SG}*
une	étape	DET	NC	FALSE	FALSE		ynetap	7	DET{Ind}	N{Stage.g=F num=SG}*
la	rue	DET	NC	FALSE	FALSE		laʁy	4	DET{The}	N{Street.g=F num=SG}*
des	étudiants	DET	NC	TRUE	FALSE	z	dezetydjɑ̃	1	DET{Ind}	N{Student.g=M num=PL}*
un	studio	DET	NC	FALSE	FALSE		ɛ̃stydjo	2	DET{Ind}	N{Studio.g=M num=SG}*
ces	études	DET	NC	TRUE	FALSE	z	sezetyd	1	DET{This}	N{Study.g=F num=PL}*
des	études	DET	NC	FALSE	FALSE		deetyd	2	DET{Ind}	N{Study.g=F num=PL}*
des	études	DET	NC	TRUE	FALSE	z	dezetyd	5	DET{Ind}	N{Study.g=F num=PL}*
les	études	DET	NC	FALSE	FALSE		leetyd	2	DET{The}	N{Study.g=F num=PL}*
les	études	DET	NC	TRUE	FALSE	z	lezetyd	2	DET{The}	N{Study.g=F num=PL}*
leurs	études	DET	NC	TRUE	FALSE	z	lœʁzetyd	1	DET{Their}	N{Study.g=F num=PL}*
mes	études	DET	NC	TRUE	FALSE	z	mezetyd	5	DET{My}	N{Study.g=F num=PL}*
une	filiale	DET	NC	FALSE	FALSE		ynfiljal	2	DET{Ind}	N{Subsidiary.g=F num=SG}*
cet	été	DET	NC	TRUE	FALSE	t	sɛttete	1	DET{This}	N{Summer.g=M num=SG}*
le	soutien	DET	NC	FALSE	FALSE		ləsutjɛ̃	11	DET{The}	N{Support.g=M num=SG}*
des	suisses	DET	NC	FALSE	FALSE		desɥis	2	DET{Ind}	N{Swiss.g=M num=PL}*
nouveau	système	ADJ	NC	FALSE	FALSE		nuvosistɛm	2	ADJ{New}	N{System.g=M num=SG}*
le	thé	DET	NC	FALSE	FALSE		ləte	2	DET{The}	N{Tea.g=M num=SG}*
des	enseignants	DET	NC	TRUE	FALSE	z	dezɑ̃sɛɲɑ̃	1	DET{Ind}	N{Teacher.g=M num=PL}*
la	technologie	DET	NC	FALSE	FALSE		latɛknɔlɔʒi	2	DET{The}	N{Technology.g=F num=SG}*
la	télévision	DET	NC	FALSE	FALSE		latelevizjɔ̃	4	DET{The}	N{Television.g=F num=SG}*
le	terme	DET	NC	FALSE	FALSE		lətɛʁm	2	DET{The}	N{Term.g=M num=SG}*
certaines	choses	ADJ	NC	FALSE	FALSE		sɛʁtɛnʃoz	3	ADJ{Certain}	N{Thing.g=M num=PL}*
des	choses	DET	NC	FALSE	FALSE		deʃoz	10	DET{Ind}	N{Thing.g=M num=PL}*
les	choses	DET	NC	FALSE	FALSE		leʃoz	2	DET{The}	N{Thing.g=M num=PL}*
autre	chose	ADJ	N	FALSE	FALSE		otʁʃoz	3	ADJ{Other}	N{Thing.g=M num=SG}*
grand	chose	ADJ	NC	FALSE	FALSE		ɡʁɑ̃ʃoz	4	ADJ{Big}	N{Thing.g=M num=SG}*
même	chose	ADJ	NC	FALSE	FALSE		mɛmʃoz	2	ADJ{Same}	N{Thing.g=M num=SG}*
quelque	chose	DET	NC	FALSE	FALSE		kɛlkʃoz	13	DET{Some}	N{Thing.g=M num=SG}*
des	milliers	DET	NC	FALSE	FALSE		demilje	2	DET{Ind}	N{Thousant.g=M num=PL}*
le	jeudi	DET	NC	FALSE	FALSE		ləʒødi	2	DET{The}	N{Thursday.g=M num=SG}*
des	tickets	DET	NC	FALSE	FALSE		detikɛ	2	DET{Ind}	N{Ticket.g=M num=PL}*
les	tickets	DET	NC	FALSE	FALSE		letikɛ	2	DET{The}	N{Ticket.g=M num=PL}*
ton	ticket	DET	NC	FALSE	FALSE		tɔ̃tikɛ	2	DET{Thy}	N{Ticket.g=M num=SG}*
plusieurs	fois	DET	NC	FALSE	FALSE		plyzjœʁfwa	2	DET{Multiple}	N{Time.g=F num=PL}*
quelques	fois	DET	NC	FALSE	FALSE		kɛlkfwa	4	DET{Some}	N{Time.g=F num=PL}*
trois	fois	DET	NC	FALSE	FALSE		tʁwafwa	2	NUM{Three}	N{Time.g=F num=PL}*
première	fois	ADJ	NC	FALSE	FALSE		pʁəmjɛʁfwa	3	ADJ{First}	N{Time.g=F num=SG}*
chaque	fois	DET	NC	FALSE	FALSE		ʃakfwa	25		N{Time.g=F num=SG}*
des	fois	DET	NC	FALSE	FALSE		defwa	9	DET{Ind}	N{Time.g=F num=SG}*
deux	fois	NUM	NC	FALSE	FALSE		døfwa	2	NUM{Two}	N{Time.g=F num=SG}*
autre	fois	DET	NC	FALSE	FALSE		lotʁfwa	2	DET{Other}	N{Time.g=F num=SG}*
une	fois	DET	NC	FALSE	FALSE		ynfwa	11	DET{Ind}	N{Time.g=F num=SG}*
même	temps	ADJ	NC	FALSE	FALSE		mɛmtɑ̃	3	ADJ{Same}	N{Time.g=M num=SG}*
même	temps	ADJ	N	FALSE	FALSE		mɛmtɑ̃	6	ADJ{Same}	N{Time.g=M num=SG}*
le	temps	DET	NC	FALSE	FALSE		lətɑ̃	10	DET{The}	N{Time.g=M num=SG}*
son	temps	DET	NC	FALSE	FALSE		sɔ̃tɑ̃	2	DET{His}	N{Time.g=M num=SG}*
seuls	titres	ADJ	NC	FALSE	FALSE		sœltitʁ	21	ADJ{Only}	N{Title.g=M num=PL}*
les	toilettes	DET	NC	FALSE	FALSE		letwalɛt	3	DET{The}	N{Toilet.g=M num=PL}*
la	tournée	DET	NC	FALSE	FALSE		latuʁne	7	DET{The}	N{Tour.g=F num=SG}*
sa	tournée	DET	NC	FALSE	FALSE		satuʁne	22	DET{His}	N{Tour.g=F num=SG}*
mêmes	villes	ADJ	NC	FALSE	FALSE		mɛmvil	5	ADJ{Same}	N{Town.g=F num=PL}*
des	villes	DET	NC	FALSE	FALSE		devil	2	DET{Ind}	N{Town.g=F num=PL}*
la	ville	DET	NC	FALSE	FALSE		lavil	4	DET{The}	N{Town.g=F num=SG}*
ces	arbres	DET	NC	TRUE	FALSE	z	sezaʁbʁ	1	DET{This}	N{Tree.g=M num=PL}*
un	arbre	DET	NC	TRUE	TRUE	nVN	ɛ̃naʁbʁ	3	DET{Ind}	N{Tree.g=M num=SG}*
des	trucs	DET	NC	FALSE	FALSE		detʁyk	4	DET{Ind}	N{Truc.g=M num=PL}*
le	truc	DET	NC	FALSE	FALSE		lətʁyk	2	DET{The}	N{Truc.g=M num=SG}*
un	truc	DET	NC	FALSE	FALSE		ɛ̃tʁyk	4	DET{Ind}	N{Truc.g=M num=SG}*
les	camions	DET	NC	FALSE	FALSE		lekamjɔ̃	2	DET{The}	N{Truck.g=M num=SG}*
le	dimanche	DET	NC	FALSE	FALSE		lədimɑ̃ʃ	2	DET{The}	N{Tuesday.g=M num=SG}*
le	tour	DET	NC	FALSE	FALSE		lətuʁ	2	DET{The}	N{Turn.g=M num=SG}*
la	télé	DET	NC	FALSE	FALSE		latele	3	DET{The}	N{TV.g=F num=SG}*
des	espèces	DET	N	FALSE	FALSE		deɛspɛs	2	DET{Ind}	N{Type.g=F num=PL}*
certains	oncles	ADJ	NC	TRUE	FALSE	z	sɛʁtɛ̃zɔ̃kl	1	ADJ{Certain}	N{Uncle.g=M num=PL}*
le	chômage	DET	NC	FALSE	FALSE		ləʃomaʒ	3	DET{The}	N{Unemployment.g=M num=SG}*
des	légumes	DET	NC	FALSE	FALSE		deleɡym	2	DET{Ind}	N{Vegetable.g=M num=SG}*
le	verbe	DET	NC	FALSE	FALSE		ləvɛʁb	2	DET{The}	N{Verb.g=M num=SG}*
des	vérifications	DET	NC	FALSE	FALSE		deveʁifikasjɔ̃	10	DET{Ind}	N{Verification.g=F num=PL}*
la	version	DET	NC	FALSE	FALSE		lavɛʁsjɔ̃	2	DET{The}	N{Version.g=F num=SG}*
le	village	DET	NC	FALSE	FALSE		ləvilaʒ	28	DET{The}	N{Village.g=M num=SG}*
son	village	DET	NC	FALSE	FALSE		sɔ̃vilaʒ	7	DET{His}	N{Village.g=M num=SG}*
des	visites	DET	NC	FALSE	FALSE		devizit	2	DET{Ind}	N{Visit.g=F num=PL}*
la	voix	DET	NC	FALSE	FALSE		lavwa)	2	DET{The}	N{Voice.g=F num=SG}*
sa	voix	DET	NC	FALSE	FALSE		savwa	2	DET{His}	N{Voice.g=F num=SG}*
le	volume	DET	NC	FALSE	FALSE		ləvɔlym	2	DET{The}	N{Volume.g=M num=SG}*
les	démarches	DET	NC	FALSE	FALSE		ledemaʁʃ	2	DET{The}	N{Walk.g=F num=PL}*
la	démarche	DET	NC	FALSE	FALSE		lademaʁʃ	2	DET{The}	N{Walk.g=F num=SG}*
la	guerre	DET	NC	FALSE	FALSE		laɡɛʁ	16	DET{The}	N{War.g=F num=SG}*
le	week-end	DET	NC	FALSE	FALSE		ləwikɑ̃	2	DET{The}	N{Weekend.g=M num=SG}*
son	vin	DET	N	FALSE	FALSE		sɔ̃vɛ̃	20	DET{His}	N{Wine.g=M num=SG}*
les	hivers	DET	NC	TRUE	FALSE	z	lezivɛʁ	1	DET{The}	N{Winter.g=M num=SG}*
les	femmes	DET	NC	FALSE	FALSE		lefam	2	DET{The}	N{Woman.g=F num=PL}*
une	femme	DET	NC	FALSE	FALSE		ynfam	2	DET{Ind}	N{Woman.g=F num=SG}*
un	travail	DET	NC	FALSE	FALSE		ɛ̃tʁavaj	4	DET{Ind}	N{Work.g=M num=SG}*
beau	monde	ADJ	NC	FALSE	FALSE		bomɔ̃d	2	ADJ{Beautiful}	N{World.g=M num=SG}*
le	monde	DET	NC	FALSE	FALSE		ləmɔ̃d	25	DET{The}	N{World.g=M num=SG}*
cinq	ans	NUM	NC	FALSE	FALSE		sɛ̃kɑ̃	5	NUM{Five}	N{Year.g=M num=PL}*
cinquante	ans	NUM	NC	FALSE	FALSE		sɛ̃kɑ̃tɑ̃	3	NUM{Fifty}	N{Year.g=M num=PL}*
deux	ans	NUM	NC	TRUE	FALSE	z	døzɑ̃	8	NUM{Two}	N{Year.g=M num=PL}*
deux	ans	NUM	NC	FALSE	FALSE		døɑ̃	2	NUM{Two}	N{Year.g=M num=PL}*
dix	ans	NUM	NC	TRUE	FALSE	z	dizɑ̃	1	NUM{Ten}	N{Year.g=M num=PL}*
huit	ans	NUM	NC	FALSE	FALSE		ɥitɑ̃	7	NUM{Eight}	N{Year.g=M num=PL}*
les	ans	DET	NC	TRUE	FALSE	z	lezɑ̃	3	DET{The}	N{Year.g=M num=PL}*
quarante	ans	NUM	NC	FALSE	FALSE		kaʁɑ̃tɑ̃	2	NUM{Forty}	N{Year.g=M num=PL}*
quatorze	ans	NUM	NC	FALSE	FALSE		katɔʁzɑ̃	2	NUM{Forty}	N{Year.g=M num=PL}*
quatre	ans	NUM	NC	FALSE	FALSE		katʁɑ̃	5	NUM{Four}	N{Year.g=M num=PL}*
quinze	ans	NUM	NC	FALSE	FALSE		kɛ̃zɑ̃	3	NUM{Fifteen}	N{Year.g=M num=PL}*
seize	ans	NUM	NC	FALSE	FALSE		sɛzɑ̃	2	NUM{Sixteen}	N{Year.g=M num=PL}*
sept	ans	NUM	NC	FALSE	FALSE		sɛtɑ̃	2	NUM{Seven}	N{Year.g=M num=PL}*
six	ans	NUM	NC	FALSE	FALSE		sisɑ̃	3	NUM{Six}	N{Year.g=M num=PL}*
six	ans	NUM	NC	TRUE	FALSE	z	sizɑ̃	3	NUM{Six}	N{Year.g=M num=PL}*
trois	ans	DET	NC	TRUE	FALSE	z	tʁwazɑ̃	8	NUM{Three}	N{Year.g=M num=PL}*
vingt	ans	NUM	NC	FALSE	FALSE		vɛ̃ɑ̃	2	NUM{Twenty}	N{Year.g=M num=PL}*
vingt	ans	NUM	NC	TRUE	FALSE	t	vɛ̃tɑ̃	4	NUM{Twenty}	N{Year.g=M num=PL}*
vingt-cinq	ans	NUM	NC	FALSE	FALSE		vɛ̃tsɛ̃kɑ̃	3	NUM{Twenty-five}	N{Year.g=M num=PL}*
vingt-et-un	ans	NUM	NC	TRUE	TRUE	nVN	vɛ̃teɛ̃nɑ̃	2	NUM{Twenty-one}	N{Year.g=M num=PL}*
un	an	DET	NC	TRUE	TRUE	nVN	ɛ̃nɑ̃	7	DET{Ind}	N{Year.g=M num=SG}*
un	an	DET	NC	FALSE	FALSE		ɛ̃ɑ̃	2	DET{Ind}	N{Year.g=M num=SG}*
dernières	années	ADJ	NC	TRUE	FALSE	z	dɛʁnjɛʁzane	1	ADJ{Last}	N{Year2.g=F num=PL}*
premières	années	ADJ	NC	TRUE	FALSE	z	pʁəmjɛʁzane	1	ADJ{First}	N{Year2.g=F num=PL}*
cinq	années	NUM	NC	FALSE	FALSE		sɛ̃kane	2	NUM{Five}	N{Year2.g=F num=PL}*
des	années	DET	NC	TRUE	FALSE	z	dezane	2	DET{Ind}	N{Year2.g=F num=PL}*
deux	années	NUM	NC	TRUE	FALSE	z	døzane	1	NUM{Two}	N{Year2.g=F num=PL}*
quelques	années	DET	NC	TRUE	FALSE	z	kɛlkzane	1	DET{Some}	N{Year2.g=F num=PL}*
cette	année	DET	NC	FALSE	FALSE		sɛtane	5	DET{This}	N{Year2.g=F num=SG}*
tâches	ancillaires	NC	ADJ	TRUE	FALSE	z	taʃzɑ̃silɛʁ	1	N{Task.g=F num=PL}*	ADJ{Ancilliary}
dessin	animé	NC	ADJ	FALSE	FALSE		desɛ̃anime	3	N{Drawing.g=M num=SG}*	ADJ{Animated}
vin	blanc	N	ADJ	FALSE	FALSE		vɛ̃blɑ̃	20	N{Wine.g=M num=SG}*	ADJ{White}
patte	blanche	NC	ADJ	FALSE	FALSE		patblɑ̃ʃ	11	N{Paw.g=F num=SG}*	ADJ{White}
journée	chaude	NC	ADJ	FALSE	FALSE		ʒuʁneʃod	17	N{Day2.g=F num=SG}*	ADJ{Hot}
paris	dixième	NPP	ADJ	FALSE	FALSE		paʁidizjɛm	3	N{Paris.g=F num=SG}*	ADJ{Tenth}
langue	étrangère	NC	ADJ	FALSE	FALSE		lɑ̃ɡetʁɑ̃ʒɛʁ	2	N{Language.g=F num=SG}*	ADJ{Foreign}
marchés	financiers	N	ADJ	FALSE	FALSE		maʁʃefinɑ̃sje	2	N{Market.g=M num=PL}*	ADJ{Financial}
recherche	fondamentale	NC	ADJ	FALSE	FALSE		ʁəʃɛʁʃfɔ̃damɑ̃tal	2	N{Search.g=F num=SG}*	ADJ{Fundamental}
les	habitudes	DET	NC	TRUE	FALSE	z	lezabityd	1	DET{The}	N{Habit.g=F num=PL}*
circuits	habituels	NC	ADJ	TRUE	FALSE	z	siʁkɥizabitɥɛl	1	N{Circuit.g=M num=PL}*	ADJ{Habitual}
circuits	habituels	NC	ADJ	FALSE	FALSE		siʁkɥiabitɥɛl	2	N{Circuit.g=M num=PL}*	ADJ{Habitual}
cité	internationale	NC	ADJ	FALSE	FALSE		siteɛ̃tɛʁnasjɔnal	2	N{City.g=F num=SG}*	ADJ{International}
champion	local	NC	ADJ	FALSE	FALSE		ʃɑ̃pjɔ̃lɔkal	12	N{Champion.g=M num=SG}*	ADJ{Local}
sympathique	maire	ADJ	NC	FALSE	FALSE		sɛ̃patikmɛʁ	20	ADJ{Sympathetic}	N{Mayor.g=M num=SG}*
langue	maternelle	NC	ADJ	FALSE	FALSE		lɑ̃ɡmatɛʁnɛl	2	N{Language.g=F num=SG}*	ADJ{Maternal}
